date,well
1/1/01,10.15
1/2/01,10.12
1/3/01,10.03
1/4/01,10.03
1/5/01,10.03
1/6/01,10.03
1/7/01,10
1/8/01,9.96
1/9/01,9.94
1/10/01,9.92
1/11/01,9.89
1/12/01,9.87
1/13/01,9.86
1/14/01,9.84
1/15/01,9.81
1/16/01,9.81
1/17/01,9.78
1/18/01,9.76
1/19/01,9.76
1/20/01,9.92
1/21/01,9.92
1/22/01,10.01
1/23/01,10.02
1/24/01,10.02
1/25/01,9.97
1/26/01,9.91
1/27/01,9.89
1/28/01,9.85
1/29/01,9.81
1/30/01,9.77
1/31/01,9.74
2/1/01,9.71
2/2/01,9.69
2/3/01,9.68
2/4/01,9.66
2/5/01,9.66
2/6/01,9.66
2/7/01,9.64
2/8/01,9.6
2/9/01,9.58
2/10/01,9.58
2/11/01,9.55
2/12/01,9.54
2/13/01,9.54
2/14/01,9.52
2/15/01,9.5
2/16/01,9.5
2/17/01,9.5
2/18/01,9.49
2/19/01,9.47
2/20/01,9.46
2/21/01,9.44
2/22/01,9.41
2/23/01,9.4
2/24/01,9.39
2/25/01,9.37
2/26/01,9.36
2/27/01,9.36
2/28/01,9.35
3/1/01,9.35
3/2/01,9.34
3/3/01,9.33
3/4/01,9.29
3/5/01,9.26
3/6/01,9.25
3/7/01,9.25
3/8/01,9.23
3/9/01,9.23
3/10/01,9.2
3/11/01,9.18
3/12/01,9.16
3/13/01,9.15
3/14/01,9.14
3/15/01,9.12
3/16/01,9.1
3/17/01,9.95
3/18/01,9.98
3/19/01,11.66
3/20/01,11.66
3/21/01,11.35
3/22/01,11.17
3/23/01,11.05
3/24/01,10.94
3/25/01,10.83
3/26/01,10.76
3/27/01,10.68
3/28/01,10.63
3/29/01,10.64
3/30/01,10.71
3/31/01,10.66
4/1/01,10.56
4/2/01,10.51
4/3/01,10.43
4/4/01,10.37
4/5/01,10.32
4/6/01,10.28
4/7/01,10.23
4/8/01,10.18
4/9/01,10.15
4/10/01,10.12
4/11/01,10.05
4/12/01,10
4/13/01,9.96
4/14/01,9.93
4/15/01,9.9
4/16/01,9.86
4/17/01,9.84
4/18/01,9.79
4/19/01,9.74
4/20/01,9.71
4/21/01,9.67
4/22/01,9.64
4/23/01,9.61
4/24/01,9.6
4/25/01,9.55
4/26/01,9.56
4/27/01,9.56
4/28/01,9.53
4/29/01,9.49
4/30/01,9.46
5/1/01,9.45
5/2/01,9.43
5/3/01,9.42
5/4/01,9.5
5/5/01,9.49
5/6/01,9.43
5/7/01,9.37
5/8/01,9.35
5/9/01,9.33
5/10/01,9.31
5/11/01,9.29
5/12/01,9.27
5/13/01,9.24
5/14/01,9.22
5/15/01,9.2
5/16/01,9.18
5/17/01,9.14
5/18/01,9.12
5/19/01,9.11
5/20/01,9.07
5/21/01,9.06
5/22/01,9.06
5/23/01,9.32
5/24/01,9.32
5/25/01,9.39
5/26/01,9.47
5/27/01,9.49
5/28/01,9.49
5/29/01,9.5
5/30/01,9.49
5/31/01,9.47
6/1/01,9.94
6/2/01,10.28
6/3/01,10.29
6/4/01,10.28
6/5/01,10.21
6/6/01,10.14
6/7/01,10.1
6/8/01,10.03
6/9/01,10.07
6/10/01,10.08
6/11/01,10.16
6/12/01,10.17
6/13/01,10.15
6/14/01,10.12
6/15/01,10.08
6/16/01,10
6/17/01,9.94
6/18/01,9.91
6/19/01,9.88
6/20/01,9.84
6/21/01,9.82
6/22/01,10.23
6/23/01,10.44
6/24/01,10.72
6/25/01,10.73
6/26/01,10.68
6/27/01,10.93
6/28/01,11.16
6/29/01,11.15
6/30/01,11.07
7/1/01,10.95
7/2/01,10.83
7/3/01,10.71
7/4/01,10.64
7/5/01,10.57
7/6/01,10.52
7/7/01,10.44
7/8/01,10.39
7/9/01,10.69
7/10/01,10.7
7/11/01,11.19
7/12/01,11.19
7/13/01,11.24
7/14/01,11.35
7/15/01,11.35
7/16/01,11.35
7/17/01,11.32
7/18/01,11.62
7/19/01,11.59
7/20/01,11.35
7/21/01,11.34
7/22/01,11.34
7/23/01,12.26
7/24/01,12.21
7/25/01,11.78
7/26/01,11.68
7/27/01,11.47
7/28/01,11.33
7/29/01,11.21
7/30/01,11.11
7/31/01,11.02
8/1/01,11.35
8/2/01,13.06
8/3/01,13.48
8/4/01,13.18
8/5/01,13.44
8/6/01,13.26
8/7/01,12.58
8/8/01,12.25
8/9/01,12.02
8/10/01,11.85
8/11/01,11.67
8/12/01,11.53
8/13/01,11.42
8/14/01,11.35
8/15/01,11.34
8/16/01,11.33
8/17/01,11.18
8/18/01,11.11
8/19/01,11.03
8/20/01,10.97
8/21/01,10.98
8/22/01,10.98
8/23/01,10.88
8/24/01,10.81
8/25/01,10.74
8/26/01,10.69
8/27/01,10.65
8/28/01,10.61
8/29/01,10.56
8/30/01,10.52
8/31/01,10.47
9/1/01,10.42
9/2/01,10.39
9/3/01,10.36
9/4/01,10.35
9/5/01,10.33
9/6/01,10.35
9/7/01,10.82
9/8/01,11.65
9/9/01,11.65
9/10/01,11.38
9/11/01,11.27
9/12/01,13.06
9/13/01,13.91
9/14/01,13.87
9/15/01,13.29
9/16/01,12.7
9/17/01,12.36
9/18/01,12.13
9/19/01,12.03
9/20/01,11.91
9/21/01,11.75
9/22/01,11.66
9/23/01,11.53
9/24/01,11.45
9/25/01,11.4
9/26/01,11.37
9/27/01,11.4
9/28/01,11.4
9/29/01,12.95
9/30/01,12.65
10/1/01,12.34
10/2/01,12.05
10/3/01,11.85
10/4/01,11.69
10/5/01,11.58
10/6/01,11.47
10/7/01,11.39
10/8/01,12.31
10/9/01,12.28
10/10/01,11.94
10/11/01,11.69
10/12/01,11.52
10/13/01,11.39
10/14/01,11.3
10/15/01,11.62
10/16/01,11.55
10/17/01,11.37
10/18/01,11.29
10/19/01,11.2
10/20/01,11.13
10/21/01,11.06
10/22/01,12.02
10/23/01,12.02
10/24/01,11.98
10/25/01,11.97
10/26/01,11.88
10/27/01,11.65
10/28/01,11.46
10/29/01,11.35
10/30/01,11.23
10/31/01,11.21
11/1/01,11.12
11/2/01,11.05
11/3/01,11.04
11/4/01,10.98
11/5/01,11.67
11/6/01,11.65
11/7/01,11.39
11/8/01,11.25
11/9/01,11.15
11/10/01,11.07
11/11/01,10.98
11/12/01,10.98
11/13/01,10.98
11/14/01,10.9
11/15/01,10.85
11/16/01,10.79
11/17/01,10.73
11/18/01,10.69
11/19/01,10.66
11/20/01,10.64
11/21/01,10.6
11/22/01,10.55
11/23/01,10.51
11/24/01,10.48
11/25/01,10.44
11/26/01,10.4
11/27/01,10.38
11/28/01,10.34
11/29/01,10.31
11/30/01,10.26
12/1/01,10.25
12/2/01,10.22
12/3/01,10.21
12/4/01,10.19
12/5/01,10.17
12/6/01,10.14
12/7/01,10.35
12/8/01,10.4
12/9/01,10.4
12/10/01,10.34
12/11/01,10.3
12/12/01,10.26
12/13/01,10.21
12/14/01,10.17
12/15/01,10.16
12/16/01,10.14
12/17/01,10.16
12/18/01,10.16
12/19/01,10.13
12/20/01,10.1
12/21/01,10.06
12/22/01,10.04
12/23/01,10.01
12/24/01,9.99
12/25/01,9.99
12/26/01,10.24
12/27/01,10.23
12/28/01,10.21
12/29/01,10.18
12/30/01,10.13
12/31/01,10.27
1/1/02,10.28
1/2/02,10.28
1/3/02,10.26
1/4/02,10.23
1/5/02,10.19
1/6/02,10.16
1/7/02,10.16
1/8/02,10.12
1/9/02,10.09
1/10/02,10.05
1/11/02,10.04
1/12/02,10.01
1/13/02,9.98
1/14/02,9.97
1/15/02,9.97
1/16/02,9.97
1/17/02,9.95
1/18/02,9.96
1/19/02,9.96
1/20/02,9.96
1/21/02,9.95
1/22/02,9.94
1/23/02,9.93
1/24/02,9.92
1/25/02,10.11
1/26/02,10.1
1/27/02,10.07
1/28/02,10.01
1/29/02,9.98
1/30/02,9.94
1/31/02,9.92
2/1/02,10.11
2/2/02,10.11
2/3/02,10.05
2/4/02,9.99
2/5/02,9.94
2/6/02,9.9
2/7/02,9.87
2/8/02,9.84
2/9/02,9.85
2/10/02,11.93
2/11/02,11.92
2/12/02,11.58
2/13/02,11.4
2/14/02,11.3
2/15/02,11.22
2/16/02,11.49
2/17/02,11.45
2/18/02,11.26
2/19/02,11.12
2/20/02,11.03
2/21/02,10.96
2/22/02,10.89
2/23/02,11.13
2/24/02,11.11
2/25/02,11.01
2/26/02,10.91
2/27/02,10.82
2/28/02,10.73
3/1/02,10.68
3/2/02,10.64
3/3/02,10.6
3/4/02,10.56
3/5/02,10.54
3/6/02,10.47
3/7/02,10.78
3/8/02,10.81
3/9/02,10.79
3/10/02,10.7
3/11/02,10.64
3/12/02,10.63
3/13/02,10.63
3/14/02,10.55
3/15/02,10.48
3/16/02,10.42
3/17/02,10.38
3/18/02,10.34
3/19/02,10.32
3/20/02,10.31
3/21/02,10.25
3/22/02,10.22
3/23/02,10.17
3/24/02,10.15
3/25/02,10.14
3/26/02,10.11
3/27/02,10.06
3/28/02,10.04
3/29/02,10.01
3/30/02,9.98
3/31/02,9.96
4/1/02,9.94
4/2/02,9.91
4/3/02,10.32
4/4/02,10.34
4/5/02,10.34
4/6/02,10.29
4/7/02,10.21
4/8/02,10.15
4/9/02,10.07
4/10/02,10.02
4/11/02,9.98
4/12/02,9.99
4/13/02,9.99
4/14/02,11.57
4/15/02,11.51
4/16/02,11.35
4/17/02,11.31
4/18/02,11.24
4/19/02,11.13
4/20/02,11.02
4/21/02,10.95
4/22/02,10.85
4/23/02,10.78
4/24/02,10.72
4/25/02,10.65
4/26/02,10.59
4/27/02,10.54
4/28/02,10.48
4/29/02,10.45
4/30/02,10.4
5/1/02,10.36
5/2/02,10.31
5/3/02,10.27
5/4/02,10.21
5/5/02,10.17
5/6/02,10.14
5/7/02,10.11
5/8/02,10.07
5/9/02,10.02
5/10/02,9.98
5/11/02,9.94
5/12/02,9.91
5/13/02,9.89
5/14/02,9.91
5/15/02,9.91
5/16/02,9.86
5/17/02,9.83
5/18/02,9.81
5/19/02,9.86
5/20/02,9.86
5/21/02,9.86
5/22/02,9.81
5/23/02,9.77
5/24/02,9.73
5/25/02,9.72
5/26/02,9.7
5/27/02,9.67
5/28/02,9.65
5/29/02,9.63
5/30/02,9.61
5/31/02,9.61
6/1/02,9.58
6/2/02,9.57
6/3/02,9.55
6/4/02,9.53
6/5/02,9.52
6/6/02,9.49
6/7/02,10.46
6/8/02,10.94
6/9/02,10.94
6/10/02,10.84
6/11/02,10.76
6/12/02,11.66
6/13/02,11.72
6/14/02,11.66
6/15/02,11.68
6/16/02,12.7
6/17/02,13.12
6/18/02,13.1
6/19/02,12.75
6/20/02,13.08
6/21/02,13.5
6/22/02,13.11
6/23/02,12.56
6/24/02,12.83
6/25/02,13
6/26/02,12.69
6/27/02,12.26
6/28/02,11.98
6/29/02,11.78
6/30/02,11.63
7/1/02,11.9
7/2/02,12.4
7/3/02,12.4
7/4/02,12.13
7/5/02,12.66
7/6/02,12.61
7/7/02,12.18
7/8/02,12.2
7/9/02,12.75
7/10/02,13.05
7/11/02,12.74
7/12/02,12.91
7/13/02,12.91
7/14/02,12.24
7/15/02,11.94
7/16/02,11.72
7/17/02,11.73
7/18/02,11.7
7/19/02,11.41
7/20/02,11.32
7/21/02,11.21
7/22/02,11.14
7/23/02,11.05
7/24/02,10.99
7/25/02,10.91
7/26/02,10.84
7/27/02,10.78
7/28/02,10.73
7/29/02,10.67
7/30/02,10.63
7/31/02,10.6
8/1/02,10.55
8/2/02,10.51
8/3/02,10.51
8/4/02,10.49
8/5/02,10.85
8/6/02,10.85
8/7/02,10.75
8/8/02,10.64
8/9/02,10.55
8/10/02,10.47
8/11/02,10.4
8/12/02,10.37
8/13/02,10.31
8/14/02,10.65
8/15/02,10.67
8/16/02,10.65
8/17/02,10.83
8/18/02,10.83
8/19/02,10.74
8/20/02,10.64
8/21/02,10.76
8/22/02,10.76
8/23/02,10.71
8/24/02,10.63
8/25/02,10.57
8/26/02,10.52
8/27/02,10.63
8/28/02,10.67
8/29/02,10.66
8/30/02,10.61
8/31/02,10.58
9/1/02,10.52
9/2/02,10.46
9/3/02,10.42
9/4/02,10.42
9/5/02,10.34
9/6/02,10.31
9/7/02,10.27
9/8/02,10.23
9/9/02,10.2
9/10/02,10.17
