date,well
1/1/01,18.5
1/2/01,18.48
1/3/01,18.5
1/4/01,18.49
1/5/01,18.5
1/6/01,18.47
1/7/01,18.43
1/8/01,18.42
1/9/01,18.39
1/10/01,18.36
1/11/01,18.37
1/12/01,18.36
1/13/01,18.33
1/14/01,18.29
1/15/01,18.29
1/16/01,18.29
1/17/01,18.28
1/18/01,18.27
1/19/01,18.26
1/20/01,18.24
1/21/01,18.23
1/22/01,18.27
1/23/01,18.28
1/24/01,18.25
1/25/01,18.25
1/26/01,18.24
1/27/01,18.22
1/28/01,18.19
1/29/01,18.21
1/30/01,18.21
1/31/01,18.18
2/1/01,18.16
2/2/01,18.17
2/3/01,18.13
2/4/01,18.15
2/5/01,18.14
2/6/01,18.14
2/7/01,18.12
2/8/01,18.1
2/9/01,18.12
2/10/01,18.11
2/11/01,18.04
2/12/01,18.05
2/13/01,18.07
2/14/01,18.07
2/15/01,18.06
2/16/01,18.04
2/17/01,18.02
2/18/01,17.99
2/19/01,17.98
2/20/01,17.98
2/21/01,17.98
2/22/01,17.98
2/23/01,17.93
2/24/01,17.91
2/25/01,17.88
2/26/01,17.9
2/27/01,17.89
2/28/01,17.89
3/1/01,17.87
3/2/01,17.85
3/3/01,17.82
3/4/01,17.81
3/5/01,17.81
3/6/01,17.81
3/7/01,17.8
3/8/01,17.78
3/9/01,17.77
3/10/01,17.77
3/11/01,17.71
3/12/01,17.73
3/13/01,17.73
3/14/01,17.73
3/15/01,17.72
3/16/01,17.7
3/17/01,17.68
3/18/01,17.69
3/19/01,17.72
3/20/01,17.74
3/21/01,17.72
3/22/01,17.71
3/23/01,17.68
3/24/01,17.67
3/25/01,17.64
3/26/01,17.65
3/27/01,21.21793237
3/28/01,21.21793237
3/29/01,21.21793237
3/30/01,21.21793237
3/31/01,21.21793237
4/1/01,21.21793237
4/2/01,21.21793237
4/3/01,21.21793237
4/4/01,21.21793237
4/5/01,21.21793237
4/6/01,21.21793237
4/7/01,21.21793237
4/8/01,21.21793237
4/9/01,21.21793237
4/10/01,21.21793237
4/11/01,21.21793237
4/12/01,21.21793237
4/13/01,21.21793237
4/14/01,21.21793237
4/15/01,21.21793237
4/16/01,21.21793237
4/17/01,21.21793237
4/18/01,21.21793237
4/19/01,21.21793237
4/20/01,21.21793237
4/21/01,21.21793237
4/22/01,21.21793237
4/23/01,21.21793237
4/24/01,17.82
4/25/01,17.8
4/26/01,17.78
4/27/01,17.76
4/28/01,17.74
4/29/01,17.74
4/30/01,17.74
5/1/01,17.76
5/2/01,17.74
5/3/01,17.74
5/4/01,17.84
5/5/01,17.95
5/6/01,17.99
5/7/01,18.01
5/8/01,18.03
5/9/01,18.05
5/10/01,18.04
5/11/01,18.05
5/12/01,18.03
5/13/01,18.03
5/14/01,17.83
5/15/01,17.77
5/16/01,17.86
5/17/01,17.89
5/18/01,17.88
5/19/01,17.9
5/20/01,17.89
5/21/01,17.89
5/22/01,17.91
5/23/01,17.93
5/24/01,17.92
5/25/01,18.16
5/26/01,17.95
5/27/01,17.96
5/28/01,17.96
5/29/01,17.97
5/30/01,17.97
5/31/01,17.97
6/1/01,17.97
6/2/01,18
6/3/01,18
6/4/01,17.98
6/5/01,18.01
6/6/01,18.04
6/7/01,18.04
6/8/01,18.05
6/9/01,18.02
6/10/01,18.03
6/11/01,18.02
6/12/01,18.02
6/13/01,18.01
6/14/01,18.04
6/15/01,18.06
6/16/01,18.08
6/17/01,18.12
6/18/01,18.14
6/19/01,18.16
6/20/01,18.19
6/21/01,18.2
6/22/01,18.21
6/23/01,18.23
6/24/01,18.29
6/25/01,18.34
6/26/01,18.4
6/27/01,18.48
6/28/01,18.94
6/29/01,19.12
6/30/01,19.21
7/1/01,19.24
7/2/01,19.27
7/3/01,19.28
7/4/01,19.32
7/5/01,19.32
7/6/01,19.33
7/7/01,19.33
7/8/01,19.37
7/9/01,19.47
7/10/01,19.76
7/11/01,20.16
7/12/01,20.32
7/13/01,20.65
7/14/01,21.41
7/15/01,21.84
7/16/01,22
7/17/01,22.06
7/18/01,22.1
7/19/01,22.1
7/20/01,22.11
7/21/01,22.76
7/22/01,22.98
7/23/01,23.17
7/24/01,23.28
7/25/01,23.24
7/26/01,23.16
7/27/01,23.14
7/28/01,23.16
7/29/01,23.09
7/30/01,23
7/31/01,22.9
8/1/01,22.82
8/2/01,24.75
8/3/01,24.86
8/4/01,25.09
8/5/01,25.28
8/6/01,25.33
8/7/01,25.14
8/8/01,24.93
8/9/01,24.71
8/10/01,24.54
8/11/01,24.46
8/12/01,24.32
8/13/01,24.2
8/14/01,24.13
8/15/01,23.99
8/16/01,23.88
8/17/01,23.89
8/18/01,23.8
8/19/01,23.67
8/20/01,23.56
8/21/01,23.51
8/22/01,23.44
8/23/01,23.33
8/24/01,23.24
8/25/01,23.15
8/26/01,23.02
8/27/01,22.93
8/28/01,22.83
8/29/01,22.69
8/30/01,22.62
8/31/01,22.54
9/1/01,22.44
9/2/01,22.35
9/3/01,22.4
9/4/01,22.64
9/5/01,22.87
9/6/01,23.15
9/7/01,23.55
9/8/01,23.8
9/9/01,23.86
9/10/01,23.9
9/11/01,23.82
9/12/01,24.82
9/13/01,25.12
9/14/01,25.4
9/15/01,25.27
9/16/01,24.91
9/17/01,24.69
9/18/01,24.57
9/19/01,24.46
9/20/01,24.32
9/21/01,24.22
9/22/01,24.12
9/23/01,23.98
9/24/01,23.86
9/25/01,23.78
9/26/01,24.63
9/27/01,24.96
9/28/01,24.93
9/29/01,25.06
9/30/01,24.99
10/1/01,24.77
10/2/01,24.56
10/3/01,24.4
10/4/01,24.28
10/5/01,24.16
10/6/01,24.08
10/7/01,23.94
10/8/01,23.81
10/9/01,23.7
10/10/01,23.6
10/11/01,23.51
10/12/01,23.49
10/13/01,23.38
10/14/01,23.27
10/15/01,23.18
10/16/01,23.12
10/17/01,23.13
10/18/01,23.04
10/19/01,22.99
10/20/01,23.08
10/21/01,23.34
10/22/01,23.84
10/23/01,23.88
10/24/01,23.78
10/25/01,23.91
10/26/01,23.83
10/27/01,23.81
10/28/01,23.62
10/29/01,23.43
10/30/01,23.33
10/31/01,23.25
11/1/01,23.21
11/2/01,23.16
11/3/01,23.05
11/4/01,23.33
11/5/01,24.48
11/6/01,24.6
11/7/01,24.52
11/8/01,24.39
11/9/01,24.26
11/10/01,24.15
11/11/01,24.01
11/12/01,23.88
11/13/01,24.28
11/14/01,24.47
11/15/01,24.34
11/16/01,24.16
11/17/01,23.96
11/18/01,23.81
11/19/01,23.75
11/20/01,23.7
11/21/01,23.58
11/22/01,23.45
11/23/01,23.39
11/24/01,23.38
11/25/01,23.28
11/26/01,23.21
11/27/01,23.12
11/28/01,23.02
11/29/01,22.96
11/30/01,22.92
12/1/01,22.81
12/2/01,22.74
12/3/01,22.65
12/4/01,22.57
12/5/01,22.53
12/6/01,22.54
12/7/01,22.51
12/8/01,22.44
12/9/01,22.37
12/10/01,22.27
12/11/01,22.2
12/12/01,22.14
12/13/01,22.14
12/14/01,22.09
12/15/01,22.01
12/16/01,21.94
12/17/01,21.94
12/18/01,21.92
12/19/01,21.82
12/20/01,21.72
12/21/01,21.63
12/22/01,21.58
12/23/01,21.58
12/24/01,21.56
12/25/01,21.5
12/26/01,21.46
12/27/01,21.38
12/28/01,21.36
12/29/01,21.33
12/30/01,21.22
12/31/01,21.22
1/1/02,21.19
1/2/02,21.23
1/3/02,21.18
1/4/02,21.09
1/5/02,21.14
1/6/02,21.18
1/7/02,21.08
1/8/02,21.03
1/9/02,21.02
1/10/02,20.98
1/11/02,20.96
1/12/02,20.93
1/13/02,20.9
1/14/02,20.87
1/15/02,20.93
1/16/02,20.99
1/17/02,21.04
1/18/02,21.02
1/19/02,21.05
1/20/02,20.96
1/21/02,20.91
1/22/02,20.85
1/23/02,20.86
1/24/02,20.89
1/25/02,20.84
1/26/02,20.76
1/27/02,20.71
1/28/02,20.71
1/29/02,20.68
1/30/02,20.62
1/31/02,20.59
2/1/02,20.63
2/2/02,20.81
2/3/02,20.86
2/4/02,20.87
2/5/02,20.79
2/6/02,20.82
2/7/02,20.85
2/8/02,20.73
2/9/02,20.65
2/10/02,20.77
2/11/02,21.21793237
2/12/02,21.21793237
2/13/02,21.21793237
2/14/02,21.21793237
2/15/02,21.21793237
2/16/02,21.21793237
2/17/02,21.21793237
2/18/02,21.21793237
2/19/02,21.21793237
2/20/02,21.21793237
2/21/02,21.27
2/22/02,21.38
2/23/02,21.82
2/24/02,21.97
2/25/02,22.06
2/26/02,22.11
2/27/02,22.06
2/28/02,21.91
3/1/02,21.88
3/2/02,21.89
3/3/02,21.81
3/4/02,21.67
3/5/02,21.55
3/6/02,21.53
3/7/02,21.5
