date,Discharge
1/1/01,87
1/2/01,95
1/3/01,99
1/4/01,102
1/5/01,105
1/6/01,109
1/7/01,113
1/8/01,118
1/9/01,119
1/10/01,118
1/11/01,121
1/12/01,128
1/13/01,128
1/14/01,129
1/15/01,130
1/16/01,130
1/17/01,129
1/18/01,127
1/19/01,127
1/20/01,137
1/21/01,131
1/22/01,139
1/23/01,142
1/24/01,139
1/25/01,137
1/26/01,132
1/27/01,128
1/28/01,125
1/29/01,123
1/30/01,123
1/31/01,124
2/1/01,127
2/2/01,132
2/3/01,145
2/4/01,159
2/5/01,176
2/6/01,183
2/7/01,181
2/8/01,180
2/9/01,175
2/10/01,170
2/11/01,166
2/12/01,160
2/13/01,156
2/14/01,153
2/15/01,151
2/16/01,150
2/17/01,150
2/18/01,145
2/19/01,141
2/20/01,137
2/21/01,133
2/22/01,129
2/23/01,126
2/24/01,122
2/25/01,118
2/26/01,125
2/27/01,124
2/28/01,115
3/1/01,112
3/2/01,104
3/3/01,99
3/4/01,125
3/5/01,131
3/6/01,134
3/7/01,140
3/8/01,143
3/9/01,141
3/10/01,141
3/11/01,139
3/12/01,140
3/13/01,243
3/14/01,316
3/15/01,578
3/16/01,691
3/17/01,683
3/18/01,703
3/19/01,748
3/20/01,901
3/21/01,1060
3/22/01,1190
3/23/01,1210
3/24/01,1220
3/25/01,1230
3/26/01,1240
3/27/01,1240
3/28/01,1240
3/29/01,1240
3/30/01,1270
3/31/01,1290
4/1/01,1290
4/2/01,1270
4/3/01,1250
4/4/01,1220
4/5/01,1180
4/6/01,1140
4/7/01,1110
4/8/01,1080
4/9/01,1040
4/10/01,985
4/11/01,928
4/12/01,875
4/13/01,825
4/14/01,775
4/15/01,733
4/16/01,705
4/17/01,676
4/18/01,658
4/19/01,627
4/20/01,507
4/21/01,416
4/22/01,357
4/23/01,308
4/24/01,268
4/25/01,241
4/26/01,213
4/27/01,189
4/28/01,173
4/29/01,157
4/30/01,142
5/1/01,129
5/2/01,118
5/3/01,108
5/4/01,99
5/5/01,91
5/6/01,84
5/7/01,76
5/8/01,67
5/9/01,58
5/10/01,52
5/11/01,46
5/12/01,42
5/13/01,38
5/14/01,35
5/15/01,32
5/16/01,30
5/17/01,28
5/18/01,26
5/19/01,24
5/20/01,22
5/21/01,21
5/22/01,20
5/23/01,19
5/24/01,17
5/25/01,16
5/26/01,15
5/27/01,15
5/28/01,14
5/29/01,15
5/30/01,17
5/31/01,15
6/1/01,14
6/2/01,16
6/3/01,15
6/4/01,14
6/5/01,14
6/6/01,13
6/7/01,13
6/8/01,14
6/9/01,12
6/10/01,16
6/11/01,24
6/12/01,91
6/13/01,379
6/14/01,1030
6/15/01,1140
6/16/01,1080
6/17/01,977
6/18/01,891
6/19/01,877
6/20/01,966
6/21/01,1100
6/22/01,1180
6/23/01,1250
6/24/01,1290
6/25/01,1310
6/26/01,1300
6/27/01,1250
6/28/01,1190
6/29/01,1130
6/30/01,1100
7/1/01,1090
7/2/01,1110
7/3/01,1220
7/4/01,1400
7/5/01,1520
7/6/01,1480
7/7/01,1460
7/8/01,1370
7/9/01,1310
7/10/01,1290
7/11/01,1230
7/12/01,1130
7/13/01,1030
7/14/01,1040
7/15/01,1170
7/16/01,1080
7/17/01,998
7/18/01,960
7/19/01,918
7/20/01,867
7/21/01,815
7/22/01,757
