date,Discharge,,
1/1/01,33,,
1/2/01,33,,
1/3/01,31,,
1/4/01,31,,
1/5/01,31,,
1/6/01,32,,
1/7/01,30,,
1/8/01,30,,
1/9/01,26,,
1/10/01,25,,
1/11/01,29,,
1/12/01,30,,
1/13/01,27,,
1/14/01,28,,
1/15/01,29,,
1/16/01,29,,
1/17/01,29,,
1/18/01,29,,
1/19/01,28,,
1/20/01,24,,
1/21/01,23,,
1/22/01,22,,
1/23/01,22,,
1/24/01,26,,
1/25/01,24,,
1/26/01,24,,
1/27/01,25,,
1/28/01,25,,
1/29/01,26,,
1/30/01,27,,
1/31/01,26,,
2/1/01,25,,
2/2/01,24,,
2/3/01,20,,
2/4/01,23,,
2/5/01,23,,
2/6/01,25,,
2/7/01,23,,
2/8/01,19,,
2/9/01,18,,
2/10/01,16,,
2/11/01,14,,
2/12/01,13,,
2/13/01,12,,
2/14/01,11,,
2/15/01,9.8,,
2/16/01,9.5,,
2/17/01,7.3,,
2/18/01,3.8,,
2/19/01,4.4,,
2/20/01,4.8,,
2/21/01,4.2,,
2/22/01,3.8,,
2/23/01,3.1,,
2/24/01,3.3,,
2/25/01,3.2,,
2/26/01,2.6,,
2/27/01,2.1,,
2/28/01,1.9,,
3/1/01,1.5,,
3/2/01,1.5,,
3/3/01,1.7,,
3/4/01,2.4,,
3/5/01,2.3,,
3/6/01,0.98,,
3/7/01,0.84,,
3/8/01,0.96,,
3/9/01,1.3,,
3/10/01,1.1,,
3/11/01,0.97,,
3/12/01,1.4,,
3/13/01,2.2,,
3/14/01,1,,
3/15/01,1.6,,
3/16/01,1.6,,
3/17/01,0.98,,
3/18/01,0.68,,
3/19/01,0.89,,
3/20/01,1.5,,
3/21/01,1,,
3/22/01,0.77,,
3/23/01,0.83,,
3/24/01,0.87,,
3/25/01,0.93,,
3/26/01,0.77,,
3/27/01,0.71,,
3/28/01,0.7,,
3/29/01,1.7,,
3/30/01,85,,
3/31/01,92,,
4/1/01,124,,
4/2/01,115,,
4/3/01,80,,
4/4/01,60,,
4/5/01,53,,
4/6/01,51,,
4/7/01,48,,
4/8/01,46,,
4/9/01,47,,
4/10/01,46,,
4/11/01,42,,
4/12/01,41,,
4/13/01,37,,
4/14/01,33,,
4/15/01,31,,
4/16/01,27,,
4/17/01,24,,
4/18/01,20,,
4/19/01,21,,
4/20/01,23,,
4/21/01,21,,
4/22/01,20,,
4/23/01,20,,
4/24/01,19,,
4/25/01,18,,
4/26/01,14,,
4/27/01,13,,
4/28/01,13,,
4/29/01,13,,
4/30/01,13,,
5/1/01,13,,
5/2/01,13,,
5/3/01,12,,
5/4/01,64,,
5/5/01,44,,
5/6/01,34,,
5/7/01,26,,
5/8/01,23,,
5/9/01,20,,
5/10/01,18,,
5/11/01,17,,
5/12/01,15,,
5/13/01,15,,
5/14/01,13,,
5/15/01,13,,
5/16/01,11,,
5/17/01,9,,
5/18/01,8,,
5/19/01,6,,
5/20/01,4,,
5/21/01,1.8,,
5/22/01,10,,
5/23/01,80,,
5/24/01,40,,
5/25/01,44,,
5/26/01,34,,
5/27/01,28,,
5/28/01,24,,
5/29/01,31,,
5/30/01,21,,
5/31/01,18,,
6/1/01,26,,
6/2/01,20,,
6/3/01,20,,
6/4/01,19,,
6/5/01,22,,
6/6/01,16,,
6/7/01,15,,
6/8/01,25,,
6/9/01,16,,
6/10/01,14,,
6/11/01,15,,
6/12/01,15,,
6/13/01,14,,
6/14/01,26,,
6/15/01,18,,
6/16/01,18,,
6/17/01,12,,
6/18/01,39,,
6/19/01,49,,
6/20/01,50,,
6/21/01,35,,
6/22/01,30,,
6/23/01,33,,
6/24/01,27,,
6/25/01,36,,
6/26/01,57,,
6/27/01,153,,
6/28/01,163,,
6/29/01,103,,
6/30/01,76,,
7/1/01,48,,
7/2/01,42,,
7/3/01,49,,
7/4/01,211,,
7/5/01,323,,
7/6/01,332,,
7/7/01,262,,
7/8/01,218,,
7/9/01,340,,
7/10/01,617,,
7/11/01,793,,
7/12/01,782,,
7/13/01,750,,
7/14/01,715,,
7/15/01,744,,
7/16/01,792,,
7/17/01,1260,,
7/18/01,1200,,
7/19/01,1220,,
7/20/01,1230,,
7/21/01,1280,,
7/22/01,1390,,
7/23/01,1650,,
7/24/01,1670,,
7/25/01,1500,,
7/26/01,1320,,
7/27/01,1190,,
7/28/01,1050,,
7/29/01,932,,
7/30/01,825,,
7/31/01,725,,
8/1/01,716,,
8/2/01,680,,
8/3/01,772,,
8/4/01,775,,
8/5/01,717,,
8/6/01,758,,
8/7/01,707,,
8/8/01,629,,
8/9/01,560,,
8/10/01,493,,
8/11/01,459,,
8/12/01,465,,
8/13/01,435,,
8/14/01,389,,
8/15/01,369,,
8/16/01,333,,
8/17/01,310,,
8/18/01,298,,
8/19/01,318,,
8/20/01,312,,
8/21/01,327,,
8/22/01,339,,
8/23/01,306,,
8/24/01,277,,
8/25/01,241,,
8/26/01,220,,
8/27/01,198,,
8/28/01,190,,
8/29/01,183,,
8/30/01,181,,
8/31/01,163,,
9/1/01,142,,
9/2/01,129,,
9/3/01,122,,
9/4/01,115,,
9/5/01,111,,
9/6/01,180,,
9/7/01,579,,
9/8/01,1030,,
9/9/01,1330,,
9/10/01,1270,,
9/11/01,1230,,
9/12/01,1280,,
9/13/01,1370,,
9/14/01,2270,,
9/15/01,3030,,
9/16/01,2590,,
9/17/01,2090,,
9/18/01,1840,,
9/19/01,1660,,
9/20/01,1490,,
9/21/01,1380,,
9/22/01,1300,,
9/23/01,1280,,
9/24/01,1300,,
9/25/01,1280,,
9/26/01,1260,,
9/27/01,1270,,
9/28/01,1260,,
9/29/01,1310,,
9/30/01,1330,,
10/1/01,1330,,
10/2/01,1260,,
10/3/01,1220,,
10/4/01,1190,,
10/5/01,1170,,
10/6/01,1130,,
10/7/01,1100,,
10/8/01,1090,,
10/9/01,1070,,
10/10/01,1000,,
10/11/01,950,,
10/12/01,870,,
10/13/01,820,,
10/14/01,750,,
10/15/01,680,,
10/16/01,620,,
10/17/01,560,,
10/18/01,510,,
10/19/01,460,,
10/20/01,420,,
10/21/01,380,,
10/22/01,380,,
10/23/01,410,,
10/24/01,430,,
10/25/01,420,,
10/26/01,430,,
10/27/01,600,,
10/28/01,850,,
10/29/01,1450,,
10/30/01,1500,,
10/31/01,1300,,
11/1/01,1300,,
11/2/01,1250,,
11/3/01,1300,,
11/4/01,1250,,
11/5/01,1300,,
11/6/01,1200,,
11/7/01,1150,,
11/8/01,1100,,
11/9/01,1000,,
11/10/01,960,,
11/11/01,920,,
11/12/01,820,,
11/13/01,720,,
11/14/01,620,,
